排名,电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,主演,slogan,简介,url
1,安昂传奇：最后的气宗,2026,2026-07-24,动画、冒险、奇幻、动作,1h 39m,9.151,,劳伦·蒙哥马利,Tim Hedrick、克里斯托弗·L·约斯特、Kenneth Lin、布莱恩·科涅茨科、迈克尔·但丁·迪马蒂诺,Eric Nam、戴夫·巴蒂斯塔、杰西卡·马滕、Román Zaragoza、史蒂文·元、Dionne Quan、迪·布拉雷·贝克尔、芙蕾达·平托、关继威,The legacy reawakens.,派拉蒙和尼克宣布“降世神通”系列开发三部新的电影，仍是动画形式。第一部由《降世神通：最后的气宗》导演Lauren Montgomery执导，《最后的气宗》主创Bryan Konietzko和Michael DiMartino担任制片人。,https://www.themoviedb.org/movie/980431-avatar-aang-the-last-airbender
2,奇幻变身大冒险,2026,2026-05-01,冒险、动画、家庭、奇幻,1h 42m,8.869,,内森·格雷诺,内森·格雷诺、Christian Magalhaes、约翰·惠廷顿、Robert Snow、Adam J. Karp,迈克尔·B·乔丹、朱诺·坦普尔、特雷西·摩根、塞德里克·凯尔斯、贾斯蒂娜·马查多、内特·托伦斯、Camden Brooks、塔塔·维加、安比卡·茂德,Transform your destiny.,森林中的一个小生物和一只高贵的鸟突然互换了身体，他们不得不结伴而行，共同应对此生最疯狂的冒险。,https://www.themoviedb.org/movie/1007757-swapped
3,不期而遇的姐妹,2026,2026-03-12,喜剧、爱情,1h 25m,8.852,,Ihtzi Hurtado,Ihtzi Hurtado、Miguel García Moreno、Mariana Palos、Carmen Castro、Paulina Barros、Carlos Tobías Gambia,安吉丽娅·博耶、Bárbara de Regil、Diego Klein、Lucía Uribe、Isabella Camil、Gabriela Platas、Laura Flores、Elena Pérez、César Rodríguez,,两位女子发现自己被同一个男人欺骗，且两人都被他弄怀孕了。于是她们联手展开报复。,https://www.themoviedb.org/movie/1632181-socias-por-accidente
4,夜巡毒枭,2026,2026-08-21,犯罪、动作、惊悚,1h 31m,8.814,,Chava Cartas,Bernardo Esquinca,Alfonso Herrera、诺伊·埃尔南德斯、Hector Kotsifakis、Paola Fernández、Gerardo Trejoluna、Fernando Cuautle、Alejandra Vazquez De Leon、Santiago Colores、Berenice Mastretta,,两位墨西哥员警不幸得罪一名残忍的毒枭后，必须拼命撑过值勤的最后几小时。改编自真实事件。,https://www.themoviedb.org/movie/1621552-la-captura
5,鬼灭之刃：无限城篇 第一章 猗窝座再袭,2025,2025-07-18,动画、动作、奇幻,2h 35m,8.785,,外崎春雄,吾峠呼世晴、近藤光,花江夏树、樱井孝宏、石田彰、下野纮、细谷佳正、早见沙织、宫野真守、上田丽奈、中村悠一,It's time to have some fun.,当鬼杀队的成员和柱之人在为即将到来的与鬼的战斗做准备，完成共同的体能训练——柱之训练时，鬼舞辻无惨在产屋敷宅邸出现。由于鬼杀队的主公处于危险之中，炭治郎和柱急忙赶往总部，但却被鸣女推入一个神秘的异空间。炭治郎和鬼杀队的目标是鬼的堡垒——无限城。因此，鬼杀队和鬼之间的最终战斗的战场已经准备就绪。,https://www.themoviedb.org/movie/1311031
6,肖申克的救赎,1994,1994-09-23,剧情、犯罪,2h 22m,8.731,,弗兰克·德拉邦特,弗兰克·德拉邦特、斯蒂芬·金,蒂姆·罗宾斯、摩根·弗里曼、鲍勃·冈顿、威廉姆·赛德勒、克兰西·布朗、吉尔·贝罗斯、小詹姆斯·艾伦·惠特莫尔、马克·罗斯顿、杰弗里·德蒙,恐惧会将你囚禁，希望则能让你获得自由。,1947年，银行家安迪·杜佛兰因被控杀害妻子及其情人，尽管始终坚称清白，仍被判处两项无期徒刑，送入缅因州的肖申克监狱服刑。在残酷而压抑的监狱生活中，安迪凭借冷静、智慧和始终未曾熄灭的希望逐渐赢得狱友们的尊重，并与能够在狱中弄到各种物品的瑞德建立起深厚的友谊。漫长的岁月里，他始终没有让高墙彻底改变自己，也开始用自己的方式影响身边的人，以及这座看似牢不可破的监狱……,https://www.themoviedb.org/movie/278-the-shawshank-redemption
7,教父,1972,1972-03-14,剧情、犯罪,2h 55m,8.7,,弗朗西斯·科波拉,弗朗西斯·科波拉、马里奥·普佐,马龙·白兰度、阿尔·帕西诺、詹姆斯·凯恩、罗伯特·杜瓦尔、理查德·萨尔瓦托雷·卡斯特拉诺、黛安·基顿、塔莉亚·夏尔、詹尼·鲁索、斯特林·海登,一份你无法拒绝的邀约。,40年代的美国，“教父”维托·唐·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化、圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。,https://www.themoviedb.org/movie/238-the-godfather
8,迈克尔·杰克逊：巨星之路,2026,2026-04-22,音乐、剧情,2h 16m,8.643,,安东尼·福奎阿,约翰·洛根,贾法尔·杰克逊、科尔曼·多明戈、尼娅·朗、Juliano Krue Valdi、凯琳·杜雷尔·琼斯、迈尔斯·特勒、拉伦茨·泰特、劳拉·哈里尔、麦克·梅尔斯,Discover the making of a king.,本片将通过一段从未展现过的深度视角，真实记录传奇巨星迈克尔·杰克逊的复杂人生。影片不仅再现了他最具标志性的艺术表演瞬间，更深入挖掘了他的内心世界——从天才神童的成长阵痛到全球偶像背后的争议与坚韧，全面呈现这位伟大艺术家的辉煌与坎坷。,https://www.themoviedb.org/movie/936075-michael
9,挽救计划,2026,2026-03-15,科幻、冒险,2h 36m,8.642,,菲尔·洛德、克里斯托弗·米勒,安迪·威尔、德鲁·高达,瑞恩·高斯林、桑德拉·惠勒、詹姆斯·奥尔蒂斯、莱昂内尔·博伊斯、米拉娜·薇恩翠、肯·兰格、普里亚·坎萨拉、米娅·索特里乌、安内尔·奥拉耶,信念是暗夜唯一的光,太阳正在被“吃”掉，绝望吞噬地球。一名“平凡”的中学教师格雷斯（瑞恩·高斯林 饰）背负全人类的希望，踏上“太空不归路”。末路孤旅中，他意外遇到一位外星萌友，一个同样身陷绝境的外星工程师，这对“宇宙搭子”成了两个文明最后的救命稻草。他们能否在资源紧缺的情况下攻克重重科学谜题，寻回唯一的希望火种？ 影片改编自安迪·威尔的同名畅销科幻小说。,https://www.themoviedb.org/movie/687163-project-hail-mary
10,教父2,1974,1974-12-20,剧情、犯罪,3h 20m,8.572,,弗朗西斯·科波拉,弗朗西斯·科波拉、马里奥·普佐,阿尔·帕西诺、罗伯特·杜瓦尔、黛安·基顿、罗伯特·德尼罗、约翰·卡扎尔、塔莉亚·夏尔、李·斯特拉斯伯格、迈克尔·V·格佐、格瓦斯·杜安·斯普拉德林,柯里昂帝国的兴衰史。,作为《教父》的续篇，影片延续了科莱昂家族两代权力交替的史诗。科波拉在第二部分中讲述了两条故事线：由罗伯特·德尼罗以非凡演技演绎的年轻教父维托的根源与崛起，以及迈克尔（阿尔·帕西诺饰）作为新任教父的上位之路。,https://www.themoviedb.org/movie/240-the-godfather-part-ii
11,十二怒汉,1957,1957-04-10,剧情,1h 36m,8.571,,西德尼·吕美特,雷金纳德·罗斯,马丁·巴尔萨姆、约翰·菲尔德、李·科布、E·G·马歇尔、杰克·克卢格曼、爱德华·宾斯、杰克·沃登、亨利·方达、约瑟夫·斯威尼,命悬其手，死视其意,西德尼·吕美特执导的本片堪称电影史上最颠覆的法庭剧。这部改编自雷金纳德·罗斯电视剧的经典之作，以密室内群像戏的精炼笔法，透视美国司法体系的肌理，张力十足。亨利·方达饰演的异议者，在由白人男性组成的陪审团中孤身抗辩——其余成员皆急于裁定被控弑父的波多黎各少年有罪。故事在一个闷热的午后、一间汗流浃背的房间里层层推进，最终凝聚成一部史诗规模的思辨传奇。吕美特这部震撼人心的导演处女作，精准捕捉了1950年代美国社会变革的前夜，成就了影史不朽的首作丰碑。[标准收藏],https://www.themoviedb.org/movie/389-12-angry-men
12,辛德勒的名单,1993,1993-12-15,剧情、历史、战争,3h 15m,8.57,,史蒂文·斯皮尔伯格,托马斯·肯尼利、斯蒂文·泽里安,连姆·尼森、本·金斯利、拉尔夫·费因斯、卡罗琳·古道尔、乔纳森·萨加尔、艾伯斯·戴维斯、马尔戈萨·格贝尔、什穆埃尔·利维、马克·伊瓦涅,谁拯救了一条生命，谁就拯救了整个世界。,1939年，纳粹德国入侵波兰。德国商人奥斯卡·辛德勒来到被占领的克拉科夫，利用自己的人脉和金钱开办了一家搪瓷厂，并雇用被迫劳动的犹太人生产军需用品，希望借战争获取财富。随着纳粹对犹太人的迫害不断升级，辛德勒亲眼目睹了克拉科夫犹太区遭到清剿，以及无数普通人被驱逐和杀害。曾经只关心生意与利益的他开始发生改变，并利用自己的工厂、财富以及与纳粹官员之间的关系，尽可能保护身边的犹太工人。在愈发疯狂的屠杀与战争阴影下，一场以生命为代价的救援也由此悄然展开……,https://www.themoviedb.org/movie/424-schindler-s-list
13,年轻的心,2024,2024-10-26,剧情、爱情,1h 37m,8.566,,安东尼·沙特曼,安东尼·沙特曼,卢·古森斯、马里乌斯·德·赛格、基尔特·范·朗拜博格、艾米莉·德·鲁、德克·凡·迪克、朱尔·古森斯、埃兹拉·范·东根、Olivier Englebert、Olga De Saeger,,埃利亚斯是一个十四岁的男孩，在一个小村庄长大，他在这里感到自己像个局外人。在遇到新邻居兼同龄人亚历山大后，埃利亚斯开始面对自己逐渐显露的性意识。,https://www.themoviedb.org/movie/1232449-young-hearts
14,电锯人剧场版：蕾塞篇,2025,2025-09-19,动画、动作、爱情、奇幻,1h 40m,8.547,,吉原达矢,濑古浩司,户谷菊之介、楠木灯、上田丽奈、坂田将吾、高桥花林、菲鲁兹·蓝、花江夏树、内田真礼、内田夕夜,活出你的人生本色……并让它精彩纷呈。,故事延续TV动画的最终章，讲述男主角电次在偶然邂逅的神秘少女蕾塞的庇护下，在快节奏的战斗中，奔向难以预测的命运。  电次，一个少年，与“电锯恶魔”签订契约，化身“电锯人”，成为隶属于公安部魔物对策特别课四课的魔物猎人，与魔物战斗。正兴奋地等待着与心仪的女性、公安部上司玛奇玛约会，却遭遇突如其来的暴雨，不得不在雨中避雨。在避雨的过程中，他邂逅了名为蕾塞的少女。在附近咖啡馆工作的蕾塞对电次露出了和善的笑容，两人迅速成为了好朋友。这次邂逅标志着电次的日常生活发生了重大改变。,https://www.themoviedb.org/movie/1218925
15,蝙蝠侠：黑暗骑士,2008,2008-07-16,动作、惊悚,2h 32m,8.535,,克里斯托弗·诺兰,克里斯托弗·诺兰、鲍勃·凯恩、乔纳森·诺兰、大卫·S·高耶,克里斯蒂安·贝尔、希斯·莱杰、艾伦·艾克哈特、迈克尔·凯恩、玛吉·吉伦哈尔、加里·奥德曼、摩根·弗里曼、莫妮克·加布里埃拉·库尔内、罗恩·迪恩,黎明前的夜是最黑暗的！,在蝙蝠侠、警官詹姆斯·戈登和地方检察官哈维·丹特的共同努力下，哥谭市的犯罪势力受到前所未有的打击。然而，自称“小丑”的神秘罪犯突然出现，以毫无规则的暴力和精心策划的犯罪不断挑战城市秩序，也将蝙蝠侠、戈登和丹特一步步逼入道德与人性的困境。面对一个无法用常规逻辑理解的敌人，蝙蝠侠必须在守护哥谭与坚守自身原则之间作出艰难选择……,https://www.themoviedb.org/movie/155-the-dark-knight
16,千与千寻,2001,2001-07-20,动画、家庭、奇幻,2h 5m,8.534,,宫崎骏,宫崎骏,柊瑠美、入野自由、夏木真理、内藤刚志、泽口靖子、我修院达也、神木隆之介、玉井夕海、大泉洋,隧道的另一头，是不可思议的小镇。,10岁的千寻跟随父母搬家途中，意外穿过一条神秘隧道，闯入了一个属于神灵的奇异世界。父母因为擅自吃下供奉给神灵的食物而被变成猪，惊慌失措的千寻则在神秘少年白龙的帮助下得以留下。为了在这个世界生存并寻找救回父母的方法，她不得不到汤婆婆掌管的“油屋”浴场工作。在形形色色的神灵与不可思议的遭遇中，原本胆小任性的千寻开始学会独自面对困难，而她也必须找到离开这里、带父母重返人类世界的方法……,https://www.themoviedb.org/movie/129
17,绿里奇迹,1999,1999-12-10,奇幻、剧情、犯罪,3h 9m,8.506,,弗兰克·德拉邦特,弗兰克·德拉邦特、斯蒂芬·金,汤姆·汉克斯、大卫·摩斯、邦妮·亨特、迈克尔·克拉克·邓肯、詹姆斯·克伦威尔、迈克尔·杰特、格雷厄姆·格林、道格·休切逊、山姆·洛克威尔,保罗·埃奇康姆从不相信奇迹。直到他遇见奇迹的那一天。,1935年。美国南部惨淡肃杀的冷山监狱。这里有片一英里长的绿地，人们叫它“绿里”。不过，它的居民皆为死囚，在绿地的另一头，便是行刑用的电椅。保罗·艾治科姆（汤姆·汉 克斯饰）是这里的狱监，对于走过“绿里”、继而在电椅上惨叫毙命的死囚行刑程序，他俨然已无动于衷。除了保罗及其爱妻简外，“绿里”上还有凶残的副狱监豪威尔，有施虐倾向 的狱吏佩西，良心未泯的看守海尔和他身患绝症的妻子美琳达，喜用宠物鼠逗狱吏和诸“难友”取乐的德拉克，连环杀人狂威廉，负疚深重的犯人彼特等一干形形色色的人们。他们之 间充满了敌意和不屑。但神秘的约翰·考夫利的到来改变了一切。考夫利因谋杀两名幼女被 判死罪，他相貌恐怖，体形硕大，却出奇地平和、敏感而缄默，天真时甚至像个孩子，同时， 他似乎还具有一种不可名状的神秘力量，令人不由自主地对其产生信任感，这不禁让艾治科姆对其罪行是否属实深怀疑问。 真情无法取代程式，考夫利终要走过“绿里”。在这个貌似粗鲁的男人即将赴死的刹那，“绿里”上的人们以不同以往的形式实现了各自生命的重要跨越。,https://www.themoviedb.org/movie/497-the-green-mile
18,指环王3：王者无敌,2003,2003-12-17,冒险、奇幻、动作,4h 23m,8.505,,彼得·杰克逊,彼得·杰克逊、J.R.R.托尔金、菲利帕·博因斯、弗兰·威尔士,伊利亚·伍德、伊恩·麦克莱恩、维果·莫特森、西恩·奥斯汀、安迪·瑟金斯、多米尼克·莫纳汉、比利·博伊德、约翰·诺伯、大卫·文翰,敌人的邪眼在移动！,索伦大军为剿灭人类种族，已对刚铎都城米那斯提力斯展开围攻。这座昔日的伟大王国由一位日渐衰弱的摄政王守护，此刻比任何时候都更需要它的王者归来。但阿拉贡能否回应血脉的召唤，成为命定之君？中土世界的命运，正系于他宽阔的双肩。,https://www.themoviedb.org/movie/122-the-lord-of-the-rings-the-return-of-the-king
19,勇夺芳心,1995,1995-10-20,喜剧、剧情、爱情,3h 10m,8.5,,Aditya Chopra,Aditya Chopra,卡卓儿、沙鲁克·汗、阿莫瑞什·普瑞、法莉達·賈勒爾、阿努潘·凯尔、Pooja Ruparel、Parmeet Sethi、Satish Shah、Mandira Bedi,"Come… fall In love, all over again…",乔德利和妻子结婚多年，一直十分恩爱。两人共同养育了两个女儿希姆莱和图吉，两个姑娘都出落得亭亭玉立。一晃眼，希姆莱就到了该嫁人的年纪了，尽管乔德利一家人已经在伦敦生活了二十多年了，但乔德利骨子里依旧是一个传统的印度人。乔德利将希姆莱许配给了朋友的儿子库杰，这让希姆莱感到十分不满。一次偶然中，希姆莱邂逅了名为拉杰的印度男子，尽管拉杰为人轻浮，油腔滑调，但希姆莱还是同他坠入了情网。得知此事的乔德利举家迁回了印度，拉杰亦紧跟其后，他要如何才能获得乔德利的认可呢？,https://www.themoviedb.org/movie/19404
20,寄生虫,2019,2019-05-30,喜剧、惊悚、剧情,2h 12m,8.49,,奉俊昊,奉俊昊、韩进元,宋康昊、李善均、曹汝贞、崔宇植、朴素丹、李姃垠、张慧珍、朴明勋、郑知晓,表现得好像这个地方是你的似的。,金基泽一家四口挤在首尔一间狭小的半地下室里，没有稳定工作，只能靠零散的活计勉强维持生活。一天，儿子基宇经朋友介绍，得到前往富裕的朴社长家担任英语家教的机会。进入这个与自己生活截然不同的家庭后，基宇发现了新的机会，并设法将妹妹基婷包装成艺术老师介绍给朴家。随后，一家人通过精心设计，让父亲和母亲也先后进入朴家工作，而朴家始终不知道这四名新雇员其实来自同一个家庭。就在金家逐渐适应这份来之不易的优渥生活时，一个隐藏在朴家豪宅中的秘密突然出现，两个家庭之间看似稳定的关系也开始走向无法预料的方向……,https://www.themoviedb.org/movie/496243
21,星际穿越,2014,2014-11-05,冒险、剧情、科幻,2h 49m,8.487,,克里斯托弗·诺兰,克里斯托弗·诺兰、乔纳森·诺兰,马修·麦康纳、安妮·海瑟薇、迈克尔·凯恩、杰西卡·查斯坦、卡西·阿弗莱克、韦斯·本特利、托弗·戈瑞斯、麦肯基·弗依、艾伦·伯斯汀,人类的下一步将迈向非凡！,近未来，地球环境持续恶化，枯萎病和沙尘暴让越来越多农作物消失，人类的生存前景也变得岌岌可危。曾为NASA飞行员的库珀如今与家人在农场生活，一次偶然发现的异常重力现象，却将他和女儿墨菲引向一个仍在秘密运作的NASA基地。布兰德教授告诉他，多年前土星附近出现了一处神秘虫洞，人类已经通过它寻找太阳系之外可能适合居住的新世界。为了给地球上的人类寻找延续文明的希望，库珀决定告别家人，与艾米莉亚·布兰德等人踏上一场穿越虫洞、前往遥远星系的探索之旅。然而在浩瀚宇宙中，距离与时间都将成为他们从未真正面对过的考验……,https://www.themoviedb.org/movie/157336-interstellar
22,你的名字。,2016,2016-07-01,动画、爱情、剧情,1h 46m,8.487,,新海诚,新海诚,神木隆之介、上白石萌音、成田凌、悠木碧、岛崎信长、石川界人、谷花音、寺杣昌纪、大原沙耶香,我正在寻觅未曾相识的你。,生活在深山小镇的高中女生宫水三叶一直向往着东京的生活，而住在东京的高中男生立花泷也过着属于自己的忙碌日常。某天，两人开始在梦中交换身体，以彼此的身份体验完全不同的人生。最初的困惑与争执过后，他们逐渐学会通过留言了解对方，并在一次次交换中建立起特殊的羁绊。然而就在两人越来越在意彼此时，身体交换却突然停止。为了找到那个从未真正见过、却早已深深影响自己的人，泷开始循着记忆中的线索寻找三叶，而隐藏在这场奇妙相遇背后的秘密也逐渐浮出水面……,https://www.themoviedb.org/movie/372058
23,低俗小说,1994,1994-09-10,惊悚、犯罪、喜剧,2h 34m,8.48,,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺、罗杰·阿瓦里,约翰·特拉沃尔塔、塞缪尔·杰克逊、乌玛·瑟曼、布鲁斯·威利斯、文·瑞姆斯、哈维·凯特尔、艾瑞克·斯托罗兹、蒂姆·罗斯、阿曼达·普拉莫,仅仅因为你是一个角色并不意味着你有角色。,由序幕、尾声及三个独立又环环相扣的故事构成。早餐店两名劫匪打劫时，偶遇黑道打手朱尔斯与文森特；文森特奉命陪伴老大马沙的妻子，深陷诱惑困境；拳击手布奇因祖传金表，和马沙结下恩怨。,https://www.themoviedb.org/movie/680-pulp-fiction
24,黄金三镖客,1966,1966-12-23,西部,2h 41m,8.467,,赛尔乔·莱昂内,赛尔乔·莱昂内、卢西亚诺·文森佐尼、富里奥·斯卡佩利、艾根诺尔·因克鲁西,克林特·伊斯特伍德、埃里·瓦拉赫、李·范·克里夫、阿尔多·久弗瑞、路易吉·皮斯蒂利、拉达·拉西莫夫、恩佐·佩蒂托、克劳迪奥·斯卡奇利、安东尼奥·卡萨莱,对这三人来说内战不是地狱，是天堂。,对三个男人而言，内战并非地狱……而只是热身！克林特·伊斯特伍德再度化身“无名客”，此番联手两名枪手，共同追寻一批价值20万美元的黄金，决不让任何人阻挡——哪怕是内战中的交战派系。,https://www.themoviedb.org/movie/429-il-buono-il-brutto-il-cattivo
25,切腹,1962,1962-09-15,动作、剧情、历史,2h 15m,8.5,,小林正树,安彦滉、桥本忍,仲代达矢、石滨朗、岩下志麻、丹波哲郎、三岛雅夫、中谷一郎、佐藤庆、稻叶义男、井川比佐志,男人的尊严，男人的挣扎。,家族没落后，失业武士仲代达矢来到井伊藩主的宅邸，请求允许他在此切腹自尽。藩主家臣认定这名走投无路的浪人只是想讨份差事，遂逼迫他当场切腹——却低估了他坚守的信念与对尊严的执着。本片由小林正树执导，荣获戛纳电影节评委会特别奖，以凌厉笔触刻画了个体在腐朽伪善体制下的抗争。,https://www.themoviedb.org/movie/14537
26,阿甘正传,1994,1994-06-23,喜剧、剧情、爱情,2h 22m,8.462,,罗伯特·泽米吉斯,温斯顿·格鲁姆、埃里克·罗思,汤姆·汉克斯、罗宾·怀特、加里·西尼斯、莎莉·菲尔德、麦凯尔泰·威廉逊、迈克尔·康纳·汉弗莱斯、汉娜·豪尔、海利·乔·奥斯蒙、西奥本·法隆·霍根,人生就像一盒巧克力，你永远不知道下一块会是什么味道,阿甘出生在美国南方阿拉巴马州一个闭塞的小镇，智商只有75，然而他的妈妈是一位性格坚强的女性，她常常鼓励阿甘要自强不息。阿甘像普通孩子一样上学，并认识了一生的朋友和挚爱珍妮。在珍妮和妈妈的爱护下，阿甘凭着自己出众的奔跑能力，开始了一生不停的奔跑。他先后成为橄榄球明星、越战英雄、乒乓球外交使者和亿万富翁，但始终忘不了珍妮。一次次匆匆的相聚与离别，更加深了阿甘对她的思念。有一天，阿甘收到珍妮的来信，他们终于又要见面……,https://www.themoviedb.org/movie/13-forrest-gump
27,Selena Gomez: My Mind & Me,2022,2022-11-04,纪录、音乐,1h 35m,8.452,,阿莱克·凯西西恩,阿莱克·凯西西恩、Paul Marchand,赛琳娜·戈麦斯、Raquelle Stevens、Ashley Cook、Liana Blackburn、Brent L. Boxberger、Devyck Bull、Mia Campagna、Rodney Chonia、Samantha Coatsworth,"Every breath, a breakthrough.",在聚光灯下多年之后，赛琳娜·戈麦斯获得了难以想象的明星地位。但就在她到达一个新的高峰时，一个意外的转折把她拉进了黑暗。这部独特的、亲密的纪录片跨越了她六年的旅程，展现了她新的光芒。,https://www.themoviedb.org/movie/1022256-selena-gomez-my-mind-me
28,好家伙,1990,1990-09-12,剧情、犯罪,2h 25m,8.452,,马丁·斯科塞斯,马丁·斯科塞斯、尼古拉斯·皮莱吉,罗伯特·德尼罗、雷·利奥塔、乔·佩西、洛林·布拉科、保罗·索维诺、弗兰克·西维罗、托尼·达罗、迈克·斯塔尔、弗兰克·文森特,在黑手党中度过的三十年人生。,本片根据真实故事改编，讲述了纽约黑手党血腥的江湖恩怨，把所谓的“江湖道义”还原为人性的丑陋与贪婪。亨利•希尔（雷•李欧塔 饰）从小不学无术，跟着老大保利，靠收取保护费、走私、抢劫，他娶了美丽的妻子凯伦，有可爱的女儿，迷人的情妇，名车豪宅，生活优渥。吉米•康维（罗伯特•德尼罗 饰）和汤米（乔•佩西 饰）是亨利的好朋友，三人一起经历和很多事情：杀死羞辱汤米的意大利黑手党头领比利•贝兹；策划德航劫案，并干掉同伙，私吞赃款；甚至背着老大保利贩毒。当然，他们的生活，除了享受金钱带来的权势之外，更多的，是朝不保夕的动荡：汤米因为比利•贝兹的死，被人枪杀；亨利自己因为贩毒被警方逮捕，其他人也受到牵连。凯伦想尽办法将亨利保释出来，此时他们已经一无所有，被人孤立，危机四伏。他们要想尽办法活下去，无论以怎样的方式，付出怎样的代价……,https://www.themoviedb.org/movie/769-goodfellas
29,七武士,1954,1954-04-26,动作、剧情,3h 27m,8.452,,黑泽明,黑泽明、小国英雄、桥本忍,三船敏郎、志村乔、稻叶义男、宫口精二、千秋实、加东大介、木村功、津岛惠子、岛崎由纪子,在悬念和场面方面无与伦比！,这部影史最具震撼力的史诗巨制，讲述十六世纪某村庄的绝望村民雇佣七位武士抵御山贼侵袭的故事。黑泽明历时三个多小时的银幕征程，通过传奇演员三船敏郎与志村乔的演绎，将哲学沉思与娱乐观赏、细腻人情与激烈战斗完美交融，铸就这部关于勇气与希望的丰碑之作——其故事之丰饶、意境之深远，令人过目难忘。[标准收藏],https://www.themoviedb.org/movie/346
30,萤火虫之墓,1988,1988-04-16,动画、剧情、战争,1h 29m,8.449,,高畑勋,高畑勋,辰巳努、白石绫乃、志乃原良子、山口明美、酒井雅代、Kozo Hashida、Kazumi Nozaki、松冈与志雄、Masahiro Kanetake,为何萤火虫的生命如此短暂？,1945年，第二次世界大战接近尾声，日本神户在空袭中化为一片火海。14岁的清太带着4岁的妹妹节子逃过轰炸，却在灾难中失去了母亲，而在海军服役的父亲也远在战场。无家可归的兄妹只得寄住在亲戚家中，但随着战争持续、物资愈发匮乏，寄人篱下的生活也变得越来越艰难。最终，清太带着节子离开亲戚家，住进一处废弃的防空洞，试图只依靠彼此活下去。在被战争摧毁的日常中，微弱的萤火与短暂的欢笑，也成为兄妹俩所能拥有的少数温暖……,https://www.themoviedb.org/movie/12477
31,要不要做我儿子？,2023,2023-09-21,喜剧、爱情,2h 20m,8.447,,Ihtzi Hurtado,Ihtzi Hurtado,Ludwika Paleta、Juanpa Zurita、埃尔南·门多萨、Harold Azuara、Agustín Arana、Yuriria del Valle、Karla Rico、Jorge Gidi、Isabel Gonzalez,,四十岁的卢发现相伴十五年的伴侣出轨，生活瞬间崩塌。她在重建自我的过程中，与一位年轻放浪的男子产生了出乎意料的关系。,https://www.themoviedb.org/movie/1181678-quieres-ser-mi-hijo
32,指环王1：护戒使者,2001,2001-12-18,冒险、奇幻、动作,3h 48m,8.445,,彼得·杰克逊,彼得·杰克逊、J.R.R.托尔金、菲利帕·博因斯、弗兰·威尔士,伊利亚·伍德、伊恩·麦克莱恩、维果·莫特森、西恩·奥斯汀、伊恩·霍姆、丽芙·泰勒、克里斯托弗·李、肖恩·宾、比利·博伊德,至尊戒，驭众戒！,J.R.R.托尔金的文学巨著首次以电影形式磅礴呈现——这是一场正义对抗邪恶的史诗冒险，一段关于友谊力量与个人勇气的传奇，更是一次为人类纪元开辟道路的英雄征程。,https://www.themoviedb.org/movie/120-the-lord-of-the-rings-the-fellowship-of-the-ring
33,美丽人生,1997,1997-12-20,喜剧、剧情,1h 56m,8.437,,罗伯托·贝尼尼,罗伯托·贝尼尼、文森佐·塞拉米,罗伯托·贝尼尼、尼可莱塔·布拉斯基、乔治·坎塔里尼、朱斯蒂诺·杜拉诺、赛尔乔·比尼·布斯特里克、玛丽萨·帕雷德斯、豪斯特·巴奇霍兹、莉迪亚·阿方西、朱利亚娜·洛约迪切,最美丽的谎言。,1939年的意大利，乐观幽默的犹太青年圭多邂逅了女教师多拉。经过一连串阴差阳错，两人相爱成家，并有了儿子乔舒亚。然而随着战争的阴影逼近，圭多和儿子因犹太身份被强行送往集中营，没有犹太血统的多拉也毅然选择同行。为了保护年幼的乔舒亚免受残酷现实的伤害，圭多把集中营里的生活编成一场游戏，并告诉他获胜的奖品是一辆真正的坦克。在恐惧与苦难之中，圭多用幽默、想象和父爱守护着儿子的童真，也始终怀抱着一家人再次团聚的希望……,https://www.themoviedb.org/movie/637-la-vita-e-bella
