排名,电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,主演,slogan,简介,url
86,我们如此相爱,1974,1974-12-21,剧情、喜剧,2h 4m,8.283,,埃托雷·斯科拉,埃托雷·斯科拉、富里奥·斯卡佩利、艾根诺尔·因克鲁西,Nino Manfredi、维托里奥·加斯曼、斯特法尼娅·桑德雷莉、Stefano Satta Flores、Giovanna Ralli、Aldo Fabrizi、Marcella Michelangeli、Elena Fabrizi、Fiammetta Baralla,一件光彩夺目的事物。,安东尼奥（尼诺·曼弗莱迪 Nino Manfredi 饰）、贾尼（维托里奥·加斯曼 Vittorio Gassman 饰）和尼古拉（Stefano Satta Flores 饰）是战争时代的生死之交。战争结束后，他们回归了家乡，开始了各自迥异的生活。安东尼奥结识了美丽女孩露西安娜（斯蒂芬尼娅·桑德雷莉 Stefania Sandrelli 饰），坠入了情网，可露西安娜喜欢的却偏偏是贾尼。可最终，贾尼选择同侯爵女儿结婚，露西安娜陷入了痛苦之中，此时，安东尼奥再度出现在了露西安娜的身边，陪伴守护着她。露西安娜一直希望能够成为一名演员，为了实现理想，她甚至不惜向负责挑选演员的负责人献出了肉体。几经波折，安东尼奥和露西安娜总算坦诚相对，互诉衷肠，一对璧人终于走到了一起。,https://www.themoviedb.org/movie/42269-c-eravamo-tanto-amati
87,大独裁者,1940,1940-10-15,喜剧、战争,2h 5m,8.284,,查理·卓别林,查理·卓别林,查理·卓别林、波莱特·戈达德、杰克·奥基、雷金纳德·加德纳、亨利·丹尼尔、比利·吉尔伯特、格蕾丝·海尔、卡特·德黑文、莫里斯·莫斯科维奇,再次——全世界都在嘲笑！,在其备受争议的杰作中，查理·卓别林既尖刻地讽刺了阿道夫·希特勒，又巧妙地颠覆了自身的喜剧形象。在其首部纯有声片中，卓别林以精湛的肢体表现力分饰两角：残酷而滑稽的“托曼尼亚”独裁者，以及被错认成他的善良犹太理发师。凭借杰克·奥克与宝莲·高黛的精彩配角演绎，这部在美国正式加入二战前便大胆直指法西斯领导人的作品，将政治讽喻与肢体喜剧熔铸成登峰造极的艺术表达，最终在卓别林那段传世的激扬演说中达到高潮。,https://www.themoviedb.org/movie/914-the-great-dictator
88,摩登时代,1936,1936-02-05,喜剧、剧情、爱情,1h 27m,8.281,,查理·卓别林,查理·卓别林,查理·卓别林、波莱特·戈达德、亨利·伯格曼、蒂尼·桑福德、切斯特·康克林、汉克·曼恩、斯坦利·布莱斯通、阿尔·欧内斯特·加西亚、理查德·亚历山大,他是现代最伟大的艺人，举世无双！世上无人能像他那样，让你开怀大笑，又深深触动你的心弦……全世界都为他无价的才华而欢笑、流泪、激动不已！,二十年代的美国处于经济萧条时期，失业率居高不下，工人受尽压榨，成为了大机器生产中的一颗螺丝钉。查理就是一个底层市民，他在一个机器隆隆的厂房里日以继夜地工作，以赚取微薄的收入。重复繁重的工作压得他喘不过气，他把人们的鼻子当成螺丝钉来拧，卷入流水线机器的皮带里，令人苦笑不得。查理尽管贫穷，但却很善良。他在路上搭救了流浪女，和她一起生活，家里破烂却又温馨。每次身无分文的查理为了找到吃的，都会故意犯事，以便进入监牢。光景一时间有了好转，流浪女成了歌舞红星，然而好景太短暂了。,https://www.themoviedb.org/movie/3082-modern-times
89,从天而降,2019,2019-12-24,喜剧、剧情、音乐,1h 52m,8.273,,Pepe Bojórquez,Pepe Bojórquez、Alfredo Felix-Diaz,奥马尔·查帕罗、安娜·克劳迪娅·塔兰孔、Stephanie Cayo、Lupita Sandoval、Yare Santana、安赫丽卡·玛丽娅、Manuel 'Flaco' Ibáñez、Alejandro Gasque、Juan Alberto Villareal,,墨西哥传奇人物佩德罗·因凡特（Pedro Infante）在地球上又获得了一次机会，可以为自己与女性的交往赎罪，并在一个模仿者的身体里赢得天堂.,https://www.themoviedb.org/movie/654299-como-caido-del-cielo
90,夜与雾,1956,1956-05-22,纪录、历史,32m,8.3,,阿伦·雷乃,让·凯罗尔,Michel Bouquet、Reinhard Heydrich、Heinrich Himmler、阿道夫·希特勒、Julius Streicher,,1956年导演阿伦•雷乃用摄影机带领观众重回奥斯维辛。当年纳粹集中营的旧址上已是一片祥和美丽的野外风光。然而时间倒回到1933年纳粹党掌权之时，整个城市被阴霾笼罩——大片修建起来的集中营房排列整齐，大量犹太人被抓进集中营开始接受非人的折磨和侮辱。这里对人种进行分级，在皮肤上纹上编号，在衣服上缝制等级的徽章。疾病，饥饿，劳役使集中营尸体遍地。1942年希莱姆到访，奉行“破坏”政策，集中营难民进入更加悲惨的境遇，被药品公司买下用作实验。1945年，集中营人数倍增后已不堪负荷，成堆的尸体被推土机推入大坑掩埋......,https://www.themoviedb.org/movie/803-nuit-et-brouillard
91,惩罚者：最后一击,2026,2026-05-12,动作、剧情、犯罪,51m,8.277,,雷纳尔多·马库斯·格林,雷纳尔多·马库斯·格林、老约翰·维克多·罗米塔、杰瑞·康威、Ross Andru、乔·博恩瑟,乔·博恩瑟、黛博拉·安·沃尔、Jason R. Moore、朱迪丝·莱特、Kelli Barrett、安德烈·洛优、约翰·道格拉斯·汤普森、Colton Hill、Nick Koumalatsos,Hey Frank.,失去家人多年后，弗兰克·卡塞尔依然被过去的创伤与幻象困扰，试图远离曾经作为“惩罚者”的暴力人生。然而，犯罪家族首领努奇为了替死去的亲人复仇，对弗兰克发出悬赏，引来大批罪犯追杀。随着暴力逐渐波及身边的无辜者，原本想要逃离过去的弗兰克不得不再次作出选择。在复仇与守护之间，他开始重新审视自己作为“惩罚者”的意义……,https://www.themoviedb.org/movie/1439930-the-punisher-one-last-kill
92,生活多美好,1946,1946-12-20,剧情、家庭、奇幻,2h 11m,8.3,,弗兰克·卡普拉,弗兰克·卡普拉、弗朗西丝·古德里奇、阿尔伯特·莫里斯·哈克特,詹姆斯·斯图尔特、唐娜·里德、莱昂内尔·巴里摩尔、托马斯·米切尔、亨利·特拉弗斯、比尤拉·邦蒂、弗兰克·费伦、埃德温·邦德、格洛丽亚·格雷厄姆,这笑声多么美妙！这爱意多么动人！,一位天使被派往人间，帮助一位万念俱灰的商人，向他展现假如他从未存在过，生活将会是怎样的光景。,https://www.themoviedb.org/movie/1585-it-s-a-wonderful-life
93,触不可及,2011,2011-11-02,剧情、喜剧,1h 52m,8.273,,奥利维埃·纳卡什、埃里克·托莱达诺,奥利维埃·纳卡什、埃里克·托莱达诺、菲利普·波佐·迪·博尔戈,弗朗索瓦·克鲁塞、奥玛·希、安娜·勒尼、奥黛丽·弗洛罗、Joséphine de Meaux、克洛蒂尔德·莫莱特、阿尔巴·盖亚·贝鲁吉、西里尔·门迪、Salimata Kamate,Sometimes you have to reach into someone else's world to find out what's missing in your own.,富有的菲利普因一场滑翔伞事故导致高位瘫痪，需要招聘一名全职陪护。前来应聘的人络绎不绝，却始终无法让他满意。直到刚刚出狱的德希斯出现，他本无意得到这份工作，只想拿到一张求职被拒的证明，却意外被菲利普选中，开始了一个月的试用期。一个生活优渥、行动不便，一个出身底层、自由不羁，两人的生活方式和价值观截然不同。在日复一日的相处中，德希斯用毫无顾忌的方式打破了菲利普沉闷的生活，而菲利普也让德希斯接触到一个从未了解过的世界。两个原本毫无交集的人，逐渐建立起一段超越身份与阶层的友谊……,https://www.themoviedb.org/movie/77338-intouchables
94,日落大道,1950,1950-08-10,剧情,1h 50m,8.272,,比利·怀尔德,比利·怀尔德、小D.M.马什曼、查尔斯·威廉·布莱克特,威廉·霍尔顿、格洛丽亚·斯旺森、埃里克·冯·施特罗海姆、南希·奥尔森、弗雷德·克拉克、劳埃德·高夫、杰克·韦伯、富兰克林·法纳姆、拉里·J·布莱克,一个好莱坞故事。,好莱坞的声名终会消散——只需问问诺玛·戴斯蒙德。她曾是影坛传奇，如今已成被人遗忘的旧时代残影。当穷困潦倒的编剧乔·吉利斯误入她那衰败的宅邸，便陷入了她偏执与妄想的罗网。起初看似机遇的邂逅，很快演变为一场危机四伏的困局。这部作品被广泛认为是好莱坞黄金时代最伟大的影片之一，它以阴郁、扭曲又萦绕人心的视角，凝视着好莱坞的轮回——那里青春是流通货币，才华转瞬即逝，而聚光灯终会黯淡。[派拉蒙影业],https://www.themoviedb.org/movie/599-sunset-boulevard
95,边境奇袭,2025,2025-02-27,动作、冒险、惊悚,1h 25m,8.3,,Chava Cartas,José Rubén Escalante Méndez,路易斯·阿伯提、诺伊·埃尔南德斯、Leonardo Alonso、Luis Curiel、Guillermo Nava、David Calderón León、Mayra Batalla、依斯菲尔 加那利、Ishbel Bautista,,一场人质营救行动带来了新的敌人，格雷罗上尉和他的精英士兵们必须应对残忍犯罪团伙的埋伏。,https://www.themoviedb.org/movie/1356039-contraataque
96,妥瑞氏与我,2025,2025-09-22,剧情、历史,2h 1m,8.251,,柯克·琼斯,柯克·琼斯,罗伯特·阿拉马约、玛克辛·皮克、彼得·穆兰、雪莉·亨德森、Scott Ellis Watson、David Carlyle、Francesco Piacentini-Smith、Somerled Campbell、Michael Dylan,I blink. I twitch. I jump. I click. I whistle. I shout.,本片根据社会活动家约翰·戴维森的真实人生经历改编。讲述他从20世纪80年代英国一名被误解的少年，成长为致力于推动人们理解与接纳妥瑞氏综合症的倡导者的故事。约翰在十五岁时被确诊，在逆境中艰难度过动荡的青春期，一步步走向成年。在他人善意的鼓舞下，他找到了人生真正的意义与方向。（妥瑞氏综合症表现为：不受控制地抽动身体或口吐恶言）,https://www.themoviedb.org/movie/1317149-i-swear
97,西部往事,1968,1968-12-21,剧情、西部,2h 46m,8.264,,赛尔乔·莱昂内,赛尔乔·莱昂内、塞尔吉奥·多纳蒂、达里欧·阿基多、贝纳尔多·贝托鲁奇,克劳迪娅·卡汀娜、亨利·方达、杰森·罗巴兹、查尔斯·布朗森、加布里埃尔·费泽蒂、Paolo Stoppa、伍迪·斯特罗德、杰克·伊莱姆、基南·怀恩,她生命中有三个男人。一个带走了她，一个深爱着她，还有一个——最终杀死了她。,塞尔吉奥·莱昂内的这部不朽史诗，其恢弘堪比取景地纪念碑谷，其气度媲美星光熠熠的杰出演员阵容，其粗粝不羁正如每个孩子想象中的狂野西部。影片围绕一名神秘的口琴客、一位寻找杀父仇人的寡妇、一个亡命之徒以及一名铁路大亨之间错综复杂的关系展开，以恩尼奥·莫里康内传奇般的配乐为灵魂，塑造了影史中最令人难忘的西部片开场与结局。这是一首对正在消逝的旧西部的挽歌，也是一部永远重塑了该类型的杰作。,https://www.themoviedb.org/movie/335-c-era-una-volta-il-west
98,新世纪福音战士剧场版：Air／真心为你,1997,1997-07-19,动画、科幻、剧情、奇幻、动作,1h 27m,8.263,,庵野秀明、鹤卷和哉,庵野秀明,绪方惠美、林原惠美、三石琴乃、宫村优子、立木文彦、长泽美树、子安武人、优希比吕、山口由里子,毁灭的命运亦是重生的喜悦。,《新世纪福音战士》系列第二部剧场版，于 1997 年 7 月 19 日在日本上映。全名：《新世纪福音战士剧场版：THE END OF EVANGELION》（日语：新世紀エヴァンゲリオン 劇場版 THE END OF EVANGELION - Air/まごころを、君に，英语：NEON GENESIS EVANGELION: THE END OF EVANGELION - AIR/SINCERELY YOURS）。剧情承接 TV 动画版第 24 集，包括了重新制作的第 25 、第 26 话。在这部剧场版中第 25 话的名字是 “AIR”（天空），而副标题是 “LOEV IS DESTRUCTIVE”（爱是一种伤害）；第 26 话的名字是 “YOUR SINCERELY”（真心为你），副标题是“ONE MORE FINAL: I NEED YOU”（再说最后一遍：我需要你）。剧场版的每一话都和电视版一样有一个 “EYE - CATCH” 镜头（即每集中间那个黑底白字的英文标题）。这部剧场版标志着整个旧世纪《新世纪福音战士》的终结。影片分成 “Air” 与 “真心为你” 两个部分。神秘的 EVA 零号机驾驶员绫波丽，在与碇元渡约定之时，来到了 NERV 底层中央教条的红色水池边。她的命运似乎就将在此结束。在危急时刻，葛城美里不但要完成加持良治交待的对“第二次浩劫”真相以及“人类补完计划”的探查工作，还要保护碇真嗣与明日香，以及防备 SEELE 对初号机与二号机的物理接触。出于对碇元渡的憎恨，赤木律子接受了 SEELE 引爆 MAGI 的提案，她能否成功 ？长期与 SEELE 共事的碇元度、冬月耕造、碇唯，为了防止人类“最终的悲剧”，而酝酿了的“人类补完计划”能否实现 ？尽在《新世纪福音战士》电影版第 2 部中解答。,https://www.themoviedb.org/movie/18491-air
99,萤火之森,2011,2011-09-17,爱情、动画、奇幻,44m,8.262,,大森贵弘,大森贵弘,泽田泉、田谷隼、佐仓绫音、内山昂辉、辻亲八、山本兼平、町田政则、内田爱美、后藤弘树,我已经等不到夏天了,某年夏天，6岁小女孩竹川萤来到爷爷家度假，她闯进了传说住满妖怪的山神森林。正当她因为迷路而焦急万分的时候，一个戴着狐狸面具的大男孩出现在她面前，并引领着萤找到回家的路。虽然萤分外感激，可是男孩却禁止她碰触自己的身体，原来这名叫银的男孩并非人类，他一旦被人类碰触就会烟消云散。在此后的日子里，萤和银成为好朋友，他们走遍了森林的每一个角落玩耍。日复一日，年复一年，每到夏天的时候萤就会如约来到森林和好朋友见面。她遵守着和银的约定，无论如何也不碰触银的身体。随着年龄的增长，萤和银对彼此的情感都悄悄发生了变化，他们共同期待相聚的日子，共同期待拥抱对方。本片根据绿川幸的原作改编。,https://www.themoviedb.org/movie/92321
100,现代启示录,1979,1979-05-19,剧情、战争,3h 22m,8.261,,弗朗西斯·科波拉,弗朗西斯·科波拉、约瑟夫·康拉德、约翰·米利厄斯,马丁·辛、马龙·白兰度、弗雷德里克·福雷斯特、阿尔伯特·海尔、劳伦斯·菲什伯恩、山姆·伯顿斯、罗伯特·杜瓦尔、格瓦斯·杜安·斯普拉德林、哈里森·福特,这就是终点...,越战期间，威拉德上尉受命执行一项危险任务，深入柬埔寨刺杀一位脱离建制的叛变上校——此人已在当地部落自封神明。,https://www.themoviedb.org/movie/28-apocalypse-now
